company,job_title,seniority,employment_type,job_function,industry,location,posted_date
Deutsche Bank,Reference Data Analyst,Mid-Senior level,Full-time,Information Technology,Financial Services,"Bengaluru, Karnataka, India",4 weeks ago
PayU,Business Analyst - (Data Analytics),Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Financial Services,"Gurgaon, Haryana, India",1 month ago
Right Advisors Private Limited,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Chennai, Tamil Nadu, India",1 month ago
NxtWave,NxtWave - Data Management Analyst,Mid-Senior level,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Technology, Information and Media","Hyderabad, Telangana, India",1 month ago
LearningMate,Lead Data Analyst,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet","Mumbai, Maharashtra, India",1 week ago
,,,,,,,
EPAM Systems,Lead Data Analyst,Mid-Senior level,Full-time,"Information Technology, Engineering, and Research",IT Services and IT Consulting and Software Development,"Gurugram, Haryana, India",34 minutes ago
Indium Software,Data Analyst,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet","Bengaluru, Karnataka, India",6 days ago
Saama,Data Analyst,Not Applicable,Full-time,Engineering,IT Services and IT Consulting,"Pune, Maharashtra, India",1 month ago
WheelsEye,Data Analyst,Mid-Senior level,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage","Delhi, Delhi, India",1 month ago
Pfizer,Planning Data Analyst,Entry level,Full-time,Information Technology,Pharmaceutical Manufacturing,"Chennai, Tamil Nadu, India",2 hours ago
MANN+HUMMEL,Data Analyst,Entry level,Full-time,Information Technology,Environmental Services,"Bengaluru, Karnataka, India",1 month ago
Impetus,Data Analyst,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Computer Networking Products","Gurgaon, Haryana, India",1 week ago
Nation with NaMo,Interesting Job Opportunity: Nation With NaMo - Data Analyst,Entry level,Full-time,Information Technology,"Market Research, Research Services, and Outsourcing and Offshoring Consulting","Gurugram, Haryana, India",1 week ago
L.E.K. Consulting,Carbon Emissions Data Analyst,Entry level,Full-time,Information Technology,Business Consulting and Services,"Delhi Cantonment, Delhi, India",4 weeks ago
Right Advisors Private Limited,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India",1 month ago
Grazitti Interactive,Business/Data Analyst Analytics,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"Sahibzada Ajit Singh Nagar, Punjab, India",1 month ago
HP,Supply Chain Data Analyst,Mid-Senior level,Full-time,Management and Manufacturing,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Software Development","Bengaluru, Karnataka, India",1 week ago
Ralph Lauren,"Data Analyst, Supply Chain",Associate,Full-time,Information Technology,Apparel & Fashion,"Bengaluru, Karnataka, India",1 month ago
Nation with NaMo,Interesting Job Opportunity: Nation With NaMo - Data Analyst - Social Media - IIT/NIT/BITS,Not Applicable,Full-time,Other,"IT Services and IT Consulting, Strategic Management Services, and Business Consulting and Services","Gurugram, Haryana, India",2 weeks ago
Cynosure Corporate Solutions,Data Analyst,Entry level,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage","Bengaluru North, Karnataka, India",3 weeks ago
Impetus,Data Analyst,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Computer Networking Products","Noida, Uttar Pradesh, India",1 week ago
Fusion Plus Solutions Inc,"Data Analysis, SQL, Python2025",Entry level,Contract,Information Technology,Information Technology & Services,"Hyderabad, Telangana, India",2 weeks ago
Upstox,Manager - Data Analyst,Not Applicable,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage","Mumbai, Maharashtra, India",2 weeks ago
BairesDev,Marketing - Data Analyst - Remote Work,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"Data, Haryana, India",1 month ago
Buxton Consulting,Data Governance Analyst,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,India,4 days ago
IZEON INNOVATIVE PVT LTD,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Chennai, Tamil Nadu, India",3 weeks ago
OLIVER+,Data Analyst,Entry level,Full-time,Information Technology,"Technology, Information and Internet","Mumbai, Maharashtra, India",1 month ago
Magzter,Senior Data Analyst,Mid-Senior level,Full-time,"Information Technology, Analyst, and Research",IT Services and IT Consulting,"Chennai, Tamil Nadu, India",2 weeks ago
Blu Ocean Innovations pvt ltd,Data Analyst,,Internship,,,India,4 minutes ago
EPAM Systems,Lead Data Analyst,Mid-Senior level,Full-time,"Information Technology, Engineering, and Research",IT Services and IT Consulting and Software Development,"Hyderabad, Telangana, India",34 minutes ago
Blinkit,Lead Data Analyst,Mid-Senior level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet","Gurgaon, Haryana, India",1 month ago
Applycup Hiring Solutions,Data Analyst - Looker,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Delhi, Delhi, India",1 month ago
Turing,Data Analyst,Entry level,Full-time,Information Technology,Software Development,India,1 day ago
