company,job_title,seniority,employment_type,job_function,industry,location,posted_date,city,days
Ace Talent Consulting India,Data Analyst (Power BI/ Tableau),Mid-Senior level,Full-time,Information Technology,Human Resources Services,Pune/Pimpri-Chinchwad Area,1 month ago,,30
Arm,Data Analyst/ Engineer -Jedox,Associate,Full-time,Information Technology,"Computer Hardware Manufacturing, Software Development, and Semiconductor Manufacturing","Bengaluru, Karnataka, India",2 weeks ago,Bengaluru,14
Kadel Labs,Data Analyst - SQL/Python,Entry level,Full-time,Information Technology,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics",Greater Jaipur Area,2 weeks ago,,14
M3,Data Analyst (Data Validation),Associate,Full-time,Customer Service,Market Research,"Bengaluru, Karnataka, India",1 week ago,Bengaluru,7
EPAM Systems,Lead Data Analyst,Mid-Senior level,Full-time,"Information Technology, Engineering, and Research",IT Services and IT Consulting and Software Development,"Chennai, Tamil Nadu, India",33 minutes ago,Chennai,0
Right Advisors Private Limited,Hiring For Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Hyderabad, Telangana, India",1 week ago,Hyderabad,7
MNR Solutions Pvt. Ltd.,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India",1 week ago,Bengaluru,7
Acme Services,Data Analyst,Mid-Senior level,Full-time,Information Technology,Financial Services,"Mumbai, Maharashtra, India",1 month ago,Mumbai,30
EPAM Systems,Lead Data Analyst,Mid-Senior level,Full-time,"Information Technology, Engineering, and Research",IT Services and IT Consulting and Software Development,"Pune, Maharashtra, India",33 minutes ago,Pune,0
Deutsche Bank,Reference Data Analyst,Mid-Senior level,Full-time,Information Technology,Financial Services,"Bengaluru, Karnataka, India",4 weeks ago,Bengaluru,28
PayU,Business Analyst - (Data Analytics),Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Financial Services,"Gurgaon, Haryana, India",1 month ago,Gurgaon,30
Right Advisors Private Limited,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Chennai, Tamil Nadu, India",1 month ago,Chennai,30
NxtWave,NxtWave - Data Management Analyst,Mid-Senior level,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Technology, Information and Media","Hyderabad, Telangana, India",1 month ago,Hyderabad,30
LearningMate,Lead Data Analyst,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet","Mumbai, Maharashtra, India",1 week ago,Mumbai,7
EPAM Systems,Lead Data Analyst,Mid-Senior level,Full-time,"Information Technology, Engineering, and Research",IT Services and IT Consulting and Software Development,"Gurugram, Haryana, India",34 minutes ago,Gurugram,0
Indium Software,Data Analyst,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet","Bengaluru, Karnataka, India",6 days ago,Bengaluru,6
Saama,Data Analyst,Not Applicable,Full-time,Engineering,IT Services and IT Consulting,"Pune, Maharashtra, India",1 month ago,Pune,30
WheelsEye,Data Analyst,Mid-Senior level,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage","Delhi, Delhi, India",1 month ago,Delhi,30
Pfizer,Planning Data Analyst,Entry level,Full-time,Information Technology,Pharmaceutical Manufacturing,"Chennai, Tamil Nadu, India",2 hours ago,Chennai,0
MANN+HUMMEL,Data Analyst,Entry level,Full-time,Information Technology,Environmental Services,"Bengaluru, Karnataka, India",1 month ago,Bengaluru,30
Impetus,Data Analyst,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Computer Networking Products","Gurgaon, Haryana, India",1 week ago,Gurgaon,7
Nation with NaMo,Interesting Job Opportunity: Nation With NaMo - Data Analyst,Entry level,Full-time,Information Technology,"Market Research, Research Services, and Outsourcing and Offshoring Consulting","Gurugram, Haryana, India",1 week ago,Gurugram,7
L.E.K. Consulting,Carbon Emissions Data Analyst,Entry level,Full-time,Information Technology,Business Consulting and Services,"Delhi Cantonment, Delhi, India",4 weeks ago,Delhi Cantonment,28
Right Advisors Private Limited,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India",1 month ago,Bengaluru,30
Grazitti Interactive,Business/Data Analyst Analytics,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"Sahibzada Ajit Singh Nagar, Punjab, India",1 month ago,Sahibzada Ajit Singh Nagar,30
HP,Supply Chain Data Analyst,Mid-Senior level,Full-time,Management and Manufacturing,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Software Development","Bengaluru, Karnataka, India",1 week ago,Bengaluru,7
Ralph Lauren,"Data Analyst, Supply Chain",Associate,Full-time,Information Technology,Apparel & Fashion,"Bengaluru, Karnataka, India",1 month ago,Bengaluru,30
Nation with NaMo,Interesting Job Opportunity: Nation With NaMo - Data Analyst - Social Media - IIT/NIT/BITS,Not Applicable,Full-time,Other,"IT Services and IT Consulting, Strategic Management Services, and Business Consulting and Services","Gurugram, Haryana, India",2 weeks ago,Gurugram,14
Cynosure Corporate Solutions,Data Analyst,Entry level,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage","Bengaluru North, Karnataka, India",3 weeks ago,Bengaluru North,21
Impetus,Data Analyst,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Computer Networking Products","Noida, Uttar Pradesh, India",1 week ago,Noida,7
Fusion Plus Solutions Inc,"Data Analysis, SQL, Python2025",Entry level,Contract,Information Technology,Information Technology & Services,"Hyderabad, Telangana, India",2 weeks ago,Hyderabad,14
Upstox,Manager - Data Analyst,Not Applicable,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage","Mumbai, Maharashtra, India",2 weeks ago,Mumbai,14
BairesDev,Marketing - Data Analyst - Remote Work,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"Data, Haryana, India",1 month ago,Data,30
Buxton Consulting,Data Governance Analyst,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,India,4 days ago,,4
IZEON INNOVATIVE PVT LTD,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Chennai, Tamil Nadu, India",3 weeks ago,Chennai,21
OLIVER+,Data Analyst,Entry level,Full-time,Information Technology,"Technology, Information and Internet","Mumbai, Maharashtra, India",1 month ago,Mumbai,30
Magzter,Senior Data Analyst,Mid-Senior level,Full-time,"Information Technology, Analyst, and Research",IT Services and IT Consulting,"Chennai, Tamil Nadu, India",2 weeks ago,Chennai,14
Blu Ocean Innovations pvt ltd,Data Analyst,,Internship,,,India,4 minutes ago,,0
EPAM Systems,Lead Data Analyst,Mid-Senior level,Full-time,"Information Technology, Engineering, and Research",IT Services and IT Consulting and Software Development,"Hyderabad, Telangana, India",34 minutes ago,Hyderabad,0
Blinkit,Lead Data Analyst,Mid-Senior level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet","Gurgaon, Haryana, India",1 month ago,Gurgaon,30
Applycup Hiring Solutions,Data Analyst - Looker,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Delhi, Delhi, India",1 month ago,Delhi,30
Turing,Data Analyst,Entry level,Full-time,Information Technology,Software Development,India,1 day ago,,1
Fusion Plus Solutions Inc,Data Analysis,Entry level,Contract,Information Technology,Information Technology & Services,"Hyderabad, Telangana, India",2 weeks ago,Hyderabad,14
DataZymes,Data Analyst - SAS/Tableau,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India",1 month ago,Bengaluru,30
Cynosure Corporate Solutions,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India",3 weeks ago,Bengaluru,21
Qrata,Bussiness / Data Analyst,Associate,Full-time,Information Technology,Human Resources,"Bengaluru North, Karnataka, India",1 month ago,Bengaluru North,30
Kadel Labs,Data Analyst - Python/SQL,Entry level,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Data Infrastructure and Analytics","Udaipur, Rajasthan, India",2 weeks ago,Udaipur,14
Impetus,Data Analyst,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Computer Networking Products","Indore, Madhya Pradesh, India",1 week ago,Indore,7
