"company","job_title","seniority","employment_type","job_function","industry","location","posted_date","city"
Annalect India,Google Analytics Analyst,Mid-Senior level,Full-time,"Advertising, Marketing, and Public Relations","Advertising Services, Broadcast Media Production and Distribution, and Media Production","Hyderabad, Telangana, India","5 days ago",Hyderabad
Fusion Plus Solutions Inc,Data Analyst,Entry level,Full-time,Information Technology,Information Technology & Services,"Hyderabad, Telangana, India","2 weeks ago",Hyderabad
IZEON INNOVATIVE PVT LTD,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Chennai, Tamil Nadu, India","3 weeks ago",Chennai
HP,Supply Chain Data Analyst,Mid-Senior level,Full-time,Management and Manufacturing,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Software Development","Bengaluru, Karnataka, India","1 week ago",Bengaluru
HyreFox Consultants,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Jaipur, Rajasthan, India","1 month ago",Jaipur
Ace Talent Consulting India,Data Analyst (Power BI/ Tableau),Mid-Senior level,Full-time,Information Technology,Human Resources Services,Pune/Pimpri-Chinchwad Area,"1 month ago",""
Arm,Data Analyst/ Engineer -Jedox,Associate,Full-time,Information Technology,"Computer Hardware Manufacturing, Software Development, and Semiconductor Manufacturing","Bengaluru, Karnataka, India","2 weeks ago",Bengaluru
Kadel Labs,Data Analyst - SQL/Python,Entry level,Full-time,Information Technology,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics",Greater Jaipur Area,"2 weeks ago",""
M3,Data Analyst (Data Validation),Associate,Full-time,Customer Service,Market Research,"Bengaluru, Karnataka, India","1 week ago",Bengaluru
EPAM Systems,Lead Data Analyst,Mid-Senior level,Full-time,"Information Technology, Engineering, and Research",IT Services and IT Consulting and Software Development,"Chennai, Tamil Nadu, India","33 minutes ago",Chennai
Right Advisors Private Limited,Hiring For Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Hyderabad, Telangana, India","1 week ago",Hyderabad
MNR Solutions Pvt. Ltd.,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India","1 week ago",Bengaluru
Acme Services,Data Analyst,Mid-Senior level,Full-time,Information Technology,Financial Services,"Mumbai, Maharashtra, India","1 month ago",Mumbai
EPAM Systems,Lead Data Analyst,Mid-Senior level,Full-time,"Information Technology, Engineering, and Research",IT Services and IT Consulting and Software Development,"Pune, Maharashtra, India","33 minutes ago",Pune
Deutsche Bank,Reference Data Analyst,Mid-Senior level,Full-time,Information Technology,Financial Services,"Bengaluru, Karnataka, India","4 weeks ago",Bengaluru
PayU,Business Analyst - (Data Analytics),Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Financial Services,"Gurgaon, Haryana, India","1 month ago",Gurgaon
Right Advisors Private Limited,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Chennai, Tamil Nadu, India","1 month ago",Chennai
NxtWave,NxtWave - Data Management Analyst,Mid-Senior level,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Technology, Information and Media","Hyderabad, Telangana, India","1 month ago",Hyderabad
LearningMate,Lead Data Analyst,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet","Mumbai, Maharashtra, India","1 week ago",Mumbai
EPAM Systems,Lead Data Analyst,Mid-Senior level,Full-time,"Information Technology, Engineering, and Research",IT Services and IT Consulting and Software Development,"Gurugram, Haryana, India","34 minutes ago",Gurugram
Indium Software,Data Analyst,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet","Bengaluru, Karnataka, India","6 days ago",Bengaluru
Saama,Data Analyst,Not Applicable,Full-time,Engineering,IT Services and IT Consulting,"Pune, Maharashtra, India","1 month ago",Pune
WheelsEye,Data Analyst,Mid-Senior level,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage","Delhi, Delhi, India","1 month ago",Delhi
Pfizer,Planning Data Analyst,Entry level,Full-time,Information Technology,Pharmaceutical Manufacturing,"Chennai, Tamil Nadu, India","2 hours ago",Chennai
MANN+HUMMEL,Data Analyst,Entry level,Full-time,Information Technology,Environmental Services,"Bengaluru, Karnataka, India","1 month ago",Bengaluru
Impetus,Data Analyst,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Computer Networking Products","Gurgaon, Haryana, India","1 week ago",Gurgaon
Nation with NaMo,Interesting Job Opportunity: Nation With NaMo - Data Analyst,Entry level,Full-time,Information Technology,"Market Research, Research Services, and Outsourcing and Offshoring Consulting","Gurugram, Haryana, India","1 week ago",Gurugram
L.E.K. Consulting,Carbon Emissions Data Analyst,Entry level,Full-time,Information Technology,Business Consulting and Services,"Delhi Cantonment, Delhi, India","4 weeks ago",Delhi Cantonment
Right Advisors Private Limited,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India","1 month ago",Bengaluru
Grazitti Interactive,Business/Data Analyst Analytics,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"Sahibzada Ajit Singh Nagar, Punjab, India","1 month ago",Sahibzada Ajit Singh Nagar
HP,Supply Chain Data Analyst,Mid-Senior level,Full-time,Management and Manufacturing,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Software Development","Bengaluru, Karnataka, India","1 week ago",Bengaluru
Ralph Lauren,"Data Analyst, Supply Chain",Associate,Full-time,Information Technology,Apparel & Fashion,"Bengaluru, Karnataka, India","1 month ago",Bengaluru
Nation with NaMo,Interesting Job Opportunity: Nation With NaMo - Data Analyst - Social Media - IIT/NIT/BITS,Not Applicable,Full-time,Other,"IT Services and IT Consulting, Strategic Management Services, and Business Consulting and Services","Gurugram, Haryana, India","2 weeks ago",Gurugram
Cynosure Corporate Solutions,Data Analyst,Entry level,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage","Bengaluru North, Karnataka, India","3 weeks ago",Bengaluru North
Impetus,Data Analyst,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Computer Networking Products","Noida, Uttar Pradesh, India","1 week ago",Noida
Fusion Plus Solutions Inc,"Data Analysis, SQL, Python2025",Entry level,Contract,Information Technology,Information Technology & Services,"Hyderabad, Telangana, India","2 weeks ago",Hyderabad
Upstox,Manager - Data Analyst,Not Applicable,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage","Mumbai, Maharashtra, India","2 weeks ago",Mumbai
BairesDev,Marketing - Data Analyst - Remote Work,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,"Data, Haryana, India","1 month ago",Data
Buxton Consulting,Data Governance Analyst,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,India,"4 days ago",""
IZEON INNOVATIVE PVT LTD,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Chennai, Tamil Nadu, India","3 weeks ago",Chennai
OLIVER+,Data Analyst,Entry level,Full-time,Information Technology,"Technology, Information and Internet","Mumbai, Maharashtra, India","1 month ago",Mumbai
Magzter,Senior Data Analyst,Mid-Senior level,Full-time,"Information Technology, Analyst, and Research",IT Services and IT Consulting,"Chennai, Tamil Nadu, India","2 weeks ago",Chennai
Blu Ocean Innovations pvt ltd,Data Analyst,"",Internship,"","",India,"4 minutes ago",""
EPAM Systems,Lead Data Analyst,Mid-Senior level,Full-time,"Information Technology, Engineering, and Research",IT Services and IT Consulting and Software Development,"Hyderabad, Telangana, India","34 minutes ago",Hyderabad
Blinkit,Lead Data Analyst,Mid-Senior level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet","Gurgaon, Haryana, India","1 month ago",Gurgaon
Applycup Hiring Solutions,Data Analyst - Looker,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Delhi, Delhi, India","1 month ago",Delhi
Turing,Data Analyst,Entry level,Full-time,Information Technology,Software Development,India,"1 day ago",""
Fusion Plus Solutions Inc,Data Analysis,Entry level,Contract,Information Technology,Information Technology & Services,"Hyderabad, Telangana, India","2 weeks ago",Hyderabad
DataZymes,Data Analyst - SAS/Tableau,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India","1 month ago",Bengaluru
Cynosure Corporate Solutions,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India","3 weeks ago",Bengaluru
Qrata,Bussiness / Data Analyst,Associate,Full-time,Information Technology,Human Resources,"Bengaluru North, Karnataka, India","1 month ago",Bengaluru North
Kadel Labs,Data Analyst - Python/SQL,Entry level,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Data Infrastructure and Analytics","Udaipur, Rajasthan, India","2 weeks ago",Udaipur
Impetus,Data Analyst,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Computer Networking Products","Indore, Madhya Pradesh, India","1 week ago",Indore
Ipseity Group,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bhopal, Madhya Pradesh, India","2 weeks ago",Bhopal
Ensono,JR009059_Data Analyst,Entry level,Full-time,Information Technology,IT Services and IT Consulting,"Chennai, Tamil Nadu, India","1 week ago",Chennai
Qrata,Data Analyst,Mid-Senior level,Full-time,Information Technology,Human Resources,"Delhi, Delhi, India","1 month ago",Delhi
Deutsche Bank,Reference Data Analyst,Mid-Senior level,Full-time,Information Technology,Financial Services,"Bengaluru, Karnataka, India","4 weeks ago",Bengaluru
Tiger Analytics,Analytics Consultant,Mid-Senior level,Full-time,Consulting and Project Management,Business Consulting and Services,"Chennai, Tamil Nadu, India","1 week ago",Chennai
Alp Consulting Ltd.,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India","1 month ago",Bengaluru
Squareboat,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Gurgaon, Haryana, India","2 weeks ago",Gurgaon
Meragi,Data Analyst,Associate,Full-time,Information Technology,"Technology, Information and Internet","Bengaluru North, Karnataka, India","3 weeks ago",Bengaluru North
Arm,Data Analyst/ Engineer -Jedox,Associate,Full-time,Information Technology,"Computer Hardware Manufacturing, Software Development, and Semiconductor Manufacturing","Bengaluru, Karnataka, India","2 weeks ago",Bengaluru
Right Advisors Private Limited,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Hyderabad, Telangana, India","1 month ago",Hyderabad
Nihilent,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Kolkata, West Bengal, India","1 month ago",Kolkata
Fusion Plus Solutions Inc,"Data Analyst, Python and SQL",Mid-Senior level,Full-time,Information Technology,Information Technology & Services,"Hyderabad, Telangana, India","2 weeks ago",Hyderabad
LearningMate,Lead Data Analyst,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet","Mumbai, Maharashtra, India","1 week ago",Mumbai
VBeyond Corporation,Data Analyst,Entry level,Full-time,Information Technology,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics","Mumbai, Maharashtra, India","1 month ago",Mumbai
Turing,Data Analyst,Entry level,Full-time,Information Technology,Software Development,India,"1 day ago",""
Maruti Suzuki India Limited,Data Analyst - IAU,Entry level,Full-time,Information Technology,Motor Vehicle Manufacturing,"Gurgaon, Haryana, India","1 month ago",Gurgaon
Kadel Labs,Data Analyst - SQL/Python,Entry level,Full-time,Information Technology,"Software Development, Technology, Information and Media, and Data Infrastructure and Analytics",Greater Jaipur Area,"2 weeks ago",""
Syngenta,Hubbing and Master Data Service Analyst,Mid-Senior level,Full-time,Supply Chain,Chemical Manufacturing,"Pune, Maharashtra, India","4 days ago",Pune
MNR Solutions Pvt. Ltd.,Data Analyst,Entry level,Full-time,Information Technology,Staffing and Recruiting,"Bengaluru, Karnataka, India","1 week ago",Bengaluru
eTeam,Data Analyst,Entry level,Contract,Information Technology,Staffing and Recruiting,"Pune, Maharashtra, India","2 weeks ago",Pune
